"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00310750","2012-04","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","9.2","5,7","","","","","","","0","5,7","0","5,7","0","5,7","13","5,7","0","5,7","","","","","2.8","5,7,25,+","","","28.3","5,7,17,","","","90.3","5,7","44.0","5,a,,7","15.09","5,7","20.88","5,,,7","9.29","5,,,7"
"USC00310750","2012-05","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","93.2","2,7","11","2,7","9","2,7","2","2,7","0","2,7","0","2,7","0","2,7","28","2,7","0","2,7","","","","","10.6","2,7,14,+","48.3","2,,7,15,","31.1","2,7,06,+","","","8.3","2,7","141.2","2,,,7","21.26","2,7","26.25","2,,,7","16.28","2,,,7"
"USC00310750","2012-06","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","125.7","1,7","7","1,7","6","1,7","0","1,7","0","1,7","0","1,7","0","1,7","29","1,7","5","1,7","","","1","","12.8","1,7,03,","21.3","1,,7,12,","38.3","1,7,30,","","","0.5","1,7","75.1","1,,,7","22.65","1,7","28.72","1,,,7","16.58","1,,,7"
"USC00310750","2012-07","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","274.3","1,7","12",",7","10",",7","1",",7","0",",7","0",",7","0","1,7","30","1,7","20","1,7","","","1","","17.8",",7,11,","35.1",",,7,21,","38.3","1,7,01,","0.0","7","0.0","1,7","116.6",",,,7","27.41","1,7","33.22","1,,,7","21.61",",,,7"
"USC00310750","2012-08","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","188.9",",7","12","2,7","7","2,7","0","2,7","0",",7","0",",7","0",",7","31",",7","4",",7","","","1","","16.7",",7,27,+","24.4","2,,7,09,","33.9",",7,04,+","0.0","7","0.0",",7","71.5","2,,,7","24.43",",7","28.92",",,,7","19.93",",,,7"
"USC00310750","2012-09","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","84.5","1,7","9","1,7","7","1,7","2","1,7","0","1,7","0","1,7","0","1,7","25","1,7","0","1,7","1","","","","9.4","1,7,26,","32.0","1,,7,09,","31.7","1,7,02,+","11.4","7","11.4","1,7","115.3","1,,,7","20.85","1,7","25.71","1,,,7","15.99","1,,,7"
"USC00310750","2013-01","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.2","5,a,,7","","","","","",""
"USC00310750","2013-02","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4","4,a,,7","","","","","",""
"USC00310750","2013-03","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","",""
"USC00310750","2013-04","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","17.8","2,7","8","2,7","6","2,7","1","2,7","0","2,7","1","2,7","0","2,7","15","2,7","0","2,7","","","","","-1.1","2,7,01,","51.1","2,,7,29,","30.0","2,7,11,","","","104.0","2,7","102.9","2,,,7","15.25","2,7","21.55","2,,,7","8.95","2,,,7"
"USC00310750","2013-05","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","49.6","2,7","12","2,7","4","2,7","1","2,7","0","2,7","0","2,7","0","2,7","20","2,7","0","2,7","","","","","7.8","2,7,15,","30.7","2,,7,07,","29.4","2,7,18,+","","","47.9","2,7","90.0","2,,,7","18.39","2,7","23.09","2,,,7","13.69","2,,,7"
"USC00310750","2013-06","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","135.9","2,7","13","2,7","10","2,7","4","2,7","0","2,7","0","2,7","0","2,7","28","2,7","2","2,7","","","","","15.6","2,7,16,+","49.5","2,,7,19,","32.8","2,7,15,+","","","0.0","2,7","213.5","2,,,7","23.19","2,7","27.56","2,,,7","18.81","2,,,7"
"USC00310750","2013-07","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","187.6","2,7","16","2,7","11","2,7","1","2,7","0","2,7","0","2,7","0","2,7","29","2,7","0","2,7","1","","","","18.3","2,7,30,+","42.7","2,,7,01,","31.7","2,7,19,","0.0","7","0.0","2,7","124.5","2,,,7","24.80","2,7","28.50","2,,,7","21.11","2,,,7"
"USC00310750","2013-08","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","149.5","2,7","11","2,7","7","2,7","0","2,7","0","2,7","0","2,7","0","2,7","28","2,7","1","2,7","","","","","13.9","2,7,26,","22.1","2,,7,13,","32.2","2,7,11,","0.0","7","0.0","2,7","62.6","2,,,7","23.49","2,7","27.36","2,,,7","19.62","2,,,7"
"USC00310750","2013-09","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","91.4",",7","6",",7","5",",7","1",",7","0",",7","0",",7","0",",7","26",",7","0",",7","","","","","12.2",",7,29,+","60.2",",,7,22,","31.7",",7,13,+","9.4","7","9.4",",7","97.9",",,,7","21.07",",7","25.75",",,,7","16.38",",,,7"
"USC00310750","2013-10","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"USC00310750","2013-11","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.9","5,a,,7","","","","","",""
"USC00310750","2013-12","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172.4","4,a,,7","","","","","",""
"USC00310750","2014-01","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"USC00310750","2014-04","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","10.8","2,7","9","2,7","8","2,7","0","2,7","0","2,7","1","2,7","0","2,7","18","2,7","0","2,7","","","","","-1.7","2,7,01,","24.1","2,,7,08,","30.6","2,7,03,","","","103.6","2,7","100.9","2,,,7","15.02","2,7","22.00","2,,,7","8.03","2,,,7"
"USC00310750","2014-06","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","167.2","1,7","7","1,7","7","1,7","0","1,7","0","1,7","0","1,7","0","1,7","29","1,7","5","1,7","","","","","13.3","1,7,03,+","23.9","1,,7,20,","33.9","1,7,19,","","","0.0","1,7","81.2","1,,,7","24.10","1,7","29.18","1,,,7","19.02","1,,,7"
"USC00310750","2014-07","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","200.5",",7","9",",7","7",",7","1",",7","0",",7","0",",7","0",",7","31",",7","7",",7","2","","","","16.7",",7,06,","32.8",",,7,16,","34.4",",7,09,+","0.0","7","0.0",",7","86.2",",,,7","24.80",",7","29.35",",,,7","20.25",",,,7"
"USC00310750","2014-08","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","146.2","1,7","12","1,7","7","1,7","2","1,7","0","1,7","0","1,7","0","1,7","28","1,7","0","1,7","6","","","","16.1","1,7,15,","35.8","1,,7,12,","31.1","1,7,31,+","0.0","7","0.0","1,7","127.5","1,,,7","23.21","1,7","27.03","1,,,7","19.38","1,,,7"
"USC00310750","2014-09","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","106.1","1,7","10","1,7","6","1,7","2","1,7","0","1,7","0","1,7","0","1,7","24","1,7","3","1,7","3","","","","12.8","1,7,24,","31.2","1,,7,09,","34.4","1,7,03,","7.3","7","7.3","1,7","109.5","1,,,7","21.74","1,7","25.38","1,,,7","18.10","1,,,7"
"USC00310750","2014-12","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","138.2","4,a,,7","","","","","",""
"USC00310750","2015-02","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.4","4,a,,7","","","","","",""
"USC00310750","2015-03","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","",""
"USC00310750","2015-04","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","23.2",",7","13",",7","7",",7","1",",7","0",",7","0",",7","0",",7","20",",7","0",",7","","","","","0.6",",7,05,","55.9",",,7,10,","29.4",",7,09,","","","90.2",",7","145.6",",,,7","16.10",",7","22.52",",,,7","9.68",",,,7"
"USC00310750","2015-05","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","82.3","2,7","6","1,7","2","1,7","0","1,7","0","2,7","0","2,7","0","1,7","28","1,7","0","1,7","1","","","","9.4","2,7,03,+","12.2","1,,7,02,","30.6","1,7,19,","","","16.4","1,7","18.3","1,,,7","20.63","2,7","26.47","1,,,7","14.79","2,,,7"
"USC00310750","2015-06","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","193.2","4,7","13","4,7","9","4,7","3","4,7","0","4,7","0","4,7","0","4,7","25","4,7","13","4,7","","","1","","16.1","4,7,05,","58.2","4,,7,28,","36.1","4,7,17,","","","0.6","4,7","184.3","4,,,7","25.74","4,7","31.40","4,,,7","20.08","4,,,7"
"USC00310750","2015-07","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","10","4,7","8","4,7","0","4,7","","","","","","","","","","","","","","","","","22.1","4,,7,06,","","","","","","","83.7","4,,,7","","","","","",""
"USC00310750","2015-08","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","202.8","3,7","10","3,7","6","3,7","2","3,7","0","3,7","0","3,7","0","3,7","28","3,7","8","3,7","","","","","17.8","3,7,29,","38.1","3,,7,20,","36.1","3,7,06,","","","0.0","3,7","110.0","3,,,7","25.58","3,7","30.66","3,,,7","20.49","3,,,7"
"USC00310750","2015-09","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","137.3",",7","13",",7","8",",7","1",",7","0",",7","0",",7","0",",7","30",",7","2",",7","4","","","","11.7",",7,15,+","25.4",",,7,25,","33.3",",7,03,","","","0.8",",7","87.5",",,,7","22.88",",7","27.42",",,,7","18.34",",,,7"
"USC00310750","2015-10","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","152.1","5,a,,7","","","","","",""
"USC00310750","2015-11","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","",""
"USC00310750","2015-12","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","152.0","5,a,,7","","","","","",""
"USC00310750","2016-02","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","94.2","4,a,,7","","","","","",""
"USC00310750","2016-03","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","57.3","3,a,,7","","","","","",""
"USC00310750","2016-04","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","25.7","2,7","6","3,7","4","3,7","0","3,7","0","2,7","0","2,7","0","2,7","16","2,7","0","2,7","","","1","","0.6","2,7,07,+","9.7","3,,7,13,","30.6","2,7,20,","","","104.0","2,7","99.5","1,a,,7","15.54","2,7","22.25","2,,,7","8.83","2,,,7"
"USC00310750","2016-05","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","52.2","1,7","16","1,7","11","1,7","0","1,7","0","1,7","0","1,7","0","1,7","22","1,7","0","1,7","","","1","","6.7","1,7,17,+","24.4","1,,7,06,+","30.0","1,7,27,+","","","36.6","1,7","143.0","1,,,7","18.85","1,7","23.68","1,,,7","14.03","1,,,7"
"USC00310750","2016-06","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","185.2",",7","11",",7","7",",7","2",",7","0",",7","0",",7","0",",7","30",",7","6",",7","3","","","","15.0",",7,10,+","40.6",",,7,29,","33.3",",7,13,","","","0.0",",7","123.5",",,,7","24.51",",7","29.55",",,,7","19.46",",,,7"
"USC00310750","2016-07","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","259.7","2,7","11","2,7","8","2,7","1","2,7","0","2,7","0","2,7","0","2,7","29","2,7","18","2,7","3","","1","","20.6","2,7,17,+","53.3","2,,7,27,","36.1","2,7,27,+","0.0","7","0.0","2,7","115.6","2,,,7","27.29","2,7","32.42","2,,,7","22.15","2,,,7"
"USC00310750","2016-08","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","266.1",",7","13",",7","6",",7","4",",7","0",",7","0",",7","0",",7","31",",7","13",",7","","","1","","19.4",",7,25,+","96.5",",,7,03,","34.4",",7,16,","0.0","7","0.0",",7","236.2",",,,7","26.92",",7","31.53",",,,7","22.31",",,,7"
"USC00310750","2016-09","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","172.8","1,7","10","1,7","6","1,7","4","1,7","0","1,7","0","1,7","0","1,7","29","1,7","6","1,7","","","","","16.7","1,7,07,+","63.5","1,,7,20,","34.4","1,7,09,","0.0","7","0.0","1,7","178.9","1,,,7","24.29","1,7","28.90","1,,,7","19.68","1,,,7"
"USC00310750","2016-11","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"USC00310750","2016-12","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","",""
"USC00310750","2017-02","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","41.7","4,a,,7","","","","","",""
"USC00310750","2017-03","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"USC00310750","2017-04","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","46.7","2,7","11","2,7","6","2,7","1","2,7","0","2,7","0","2,7","0","2,7","21","2,7","0","2,7","","","1","","2.8","2,7,09,","99.1","2,,7,25,","31.1","2,7,30,","","","36.9","2,7","155.1","2,,,7","18.68","2,7","24.74","2,,,7","12.63","2,,,7"
"USC00310750","2017-05","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","15","5,7","7","5,7","1","5,7","","","","","","","","","","","","","","","","","48.3","5,,7,05,","","","","","","","93.7","5,,,7","","","","","",""
"USC00310750","2017-06","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","156.9","1,7","11","1,7","8","1,7","1","1,7","0","1,7","0","1,7","0","1,7","29","1,7","2","1,7","","","","","12.8","1,7,09,","25.4","1,,7,25,","32.2","1,7,24,+","","","1.4","1,7","121.3","1,,,7","23.69","1,7","28.78","1,,,7","18.61","1,,,7"
"USC00310750","2017-07","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","249.5","3,7","10","3,7","4","3,7","0","3,7","0","3,7","0","3,7","0","3,7","28","3,7","18","3,7","1","","","","17.2","3,7,31,","13.7","3,,7,15,","36.1","3,7,24,+","0.0","7","0.0","3,7","41.7","3,,,7","27.24","3,7","32.62","3,,,7","21.87","3,,,7"
"USC00310750","2017-08","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","202.3","5,7","9","5,7","5","5,7","0","5,7","0","5,7","0","5,7","0","5,7","26","5,7","12","5,7","","","","","16.1","5,7,31,","17.3","5,,7,09,","36.7","5,7,19,","0.0","7","0.0","5,7","50.6","5,,,7","26.11","5,7","31.36","5,,,7","20.87","5,,,7"
"USC00310750","2017-09","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","121.6","2,7","9","2,7","5","2,7","1","2,7","0","2,7","0","2,7","0","2,7","27","2,7","1","2,7","4","","","","12.8","2,7,08,+","52.8","2,,7,02,","33.3","2,7,29,","1.1","7","1.1","2,7","81.7","2,,,7","22.64","2,7","27.77","2,,,7","17.50","2,,,7"
"USC00310750","2017-10","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","74.7","2,a,,7","","","","","",""
"USC00310750","2018-01","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"USC00310750","2018-02","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","50.6","4,a,,7","","","","","",""
"USC00310750","2018-03","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"USC00310750","2018-04","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","5.3","1,7","9","1,7","6","1,7","1","1,7","0","1,7","0","1,7","0","1,7","15","1,7","0","1,7","","","","","1.1","1,7,08,","68.1","1,,7,16,","28.9","1,7,19,+","","","120.4","1,7","132.0","1,,,7","14.36","1,7","21.56","1,,,7","7.17","1,,,7"
"USC00310750","2018-05","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","147.5",",7","11",",7","8",",7","1",",7","0",",7","0",",7","0",",7","31",",7","3",",7","","","","","4.4",",7,01,","28.4",",,7,18,","32.8",",7,15,+","","","5.8",",7","113.3",",,,7","22.90",",7","28.13",",,,7","17.68",",,,7"
"USC00310750","2018-06","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","209.1","1,7","8","1,7","5","1,7","0","1,7","0","1,7","0","1,7","0","1,7","29","1,7","10","1,7","","","2","","16.1","1,7,06,","19.3","1,,7,12,","35.0","1,7,25,+","","","0.0","1,7","59.2","1,,,7","25.54","1,7","30.51","1,,,7","20.58","1,,,7"
"USC00310750","2018-07","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","234.2","1,7","14",",7","11",",7","2",",7","0","1,7","0","1,7","0","1,7","30","1,7","12","1,7","1","","2","","16.7","1,7,10,","27.7",",,7,22,","35.6","1,7,04,","0.0","7","0.0","1,7","153.1",",,,7","26.14","1,7","31.16","1,,,7","21.12","1,,,7"
"USC00310750","2018-08","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","222.6","1,7","17",",7","12",",7","5",",7","0","1,7","0","1,7","0","1,7","30","1,7","8","1,7","2","","4","","17.2","1,7,27,+","56.4",",,7,19,","33.9","1,7,31,","0.0","7","0.0","1,7","261.5",",,,7","25.75","1,7","30.43","1,,,7","21.08","1,,,7"
"USC00310750","2018-09","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","8","5,7","4","5,7","2","5,7","","","","","","","","","","","2","","2","","","","117.9","5,,7,17,","","","","","","","165.5","5,,,7","","","","","",""
"USC00310750","2018-10","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","145.2","5,a,,7","","","","","",""
"USC00310750","2018-11","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","197.7","1,a,,7","","","","","",""
"USC00310750","2018-12","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","",""
"USC00310750","2019-01","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.8","2,a,,7","","","","","",""
"USC00310750","2019-03","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.8","3,a,,7","","","","","",""
"USC00310750","2019-04","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","26.1","2,7","12","1,7","8","1,7","3","1,7","0","2,7","2","2,7","0","2,7","22","2,7","0","2,7","1","","","","-1.1","2,7,04,+","43.9","1,,7,09,","30.0","2,7,25,","","","70.5","2,7","165.6","1,,,7","16.75","2,7","22.96","2,,,7","10.53","2,,,7"
"USC00310750","2019-05","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","137.9","2,7","7","2,7","4","2,7","0","2,7","0","2,7","0","2,7","0","2,7","28","2,7","6","2,7","","","1","","8.3","2,7,16,+","18.8","2,,7,12,","35.0","2,7,29,","","","8.1","2,7","57.8","2,,,7","22.81","2,7","28.26","2,,,7","17.36","2,,,7"
"USC00310750","2019-06","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","11","1,7","8","1,7","3","1,7","","","","","","","","","","","","","","","","","62.2","1,,7,10,","","","","","","","233.7","1,,,7","","","","","",""
"USC00310750","2019-07","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","282.0",",7","9",",7","4",",7","1",",7","0",",7","0",",7","0",",7","31",",7","23",",7","","","3","","18.3",",7,24,","59.9",",,7,24,","36.7",",7,17,","0.0","7","0.0",",7","89.6",",,,7","27.43",",7","32.90",",,,7","21.96",",,,7"
"USC00310750","2019-08","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","218.5","1,7","15","1,7","8","1,7","1","1,7","0","1,7","0","1,7","0","1,7","30","1,7","14","1,7","1","","1","","15.6","1,7,30,","76.7","1,,7,16,","35.0","1,7,14,","0.0","7","0.0","1,7","173.3","1,,,7","25.62","1,7","30.66","1,,,7","20.57","1,,,7"
"USC00310750","2019-09","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","202.1",",7","3",",7","1",",7","1",",7","0",",7","0",",7","0",",7","30",",7","6",",7","2","","","","12.2",",7,22,","27.2",",,7,06,","34.4",",7,30,+","0.0","7","0.0",",7","29.0",",,,7","25.07",",7","30.45",",,,7","19.69",",,,7"
"USC00310750","2019-10","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","",""
"USC00310750","2019-11","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","",""
"USC00310750","2019-12","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"USC00310750","2020-01","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","101.6","4,a,,7","","","","","",""
"USC00310750","2020-02","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"USC00310750","2020-03","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"USC00310750","2020-05","35.6542","-79.0706","94.5","B. EVERETT JORDAN DAM, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186.0","2,a,,7","","","","","",""
