"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00118324","1995-03","42.02556","-88.17833","249.6","STREAMWOOD, IL US","0.0","0","0.0","1,0","10",",0","7",",0","0",",0","6",",0","2",",0","0","1,0","19","1,0","4",",0","4",",0","0",",0","","","2","","-15.6","1,0,02,","51",",,0,08,+","53",",,0,06,","11.2",",,0,28,","25.0",",0,15,","2999.4","0","","","","","","","443.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7",",,,0","109",",,,0","3.40","1,0","9.68",",,,0","-2.87","1,,,0","",""
"USC00118324","1995-04","42.02556","-88.17833","249.6","STREAMWOOD, IL US","0.0","0","0.0",",0","18",",0","12",",0","1",",0","0",",0","0",",0","0",",0","13",",0","1",",0","1",",0","0",",0","2","","2","","-11.1",",0,05,","0",",T,0,10,+","5",",,0,10,","61.5",",,0,27,","23.9",",0,19,","3353.8","0","","","","","","","354.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148.2",",,,0","8",",,,0","6.52",",0","12.58",",,,0","0.46",",,,0","",""
"USC00118324","1995-05","42.02556","-88.17833","249.6","STREAMWOOD, IL US","3.1","0","3.1",",0","16",",0","9",",0","1",",0","0",",0","0",",0","0",",0","1",",0","0",",0","15",",0","0",",0","1","","3","","0.0",",0,03,","0",",,0,31,+","0",",,0,31,+","30.5",",,0,24,","28.9",",0,31,","3490.6","0","","","","","","","136.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124.0",",,,0","0",",,,0","14.02",",0","20.43",",,,0","7.61",",,,0","",""
"USC00118324","1995-06","42.02556","-88.17833","249.6","STREAMWOOD, IL US","117.4","0","114.3","3,0","7",",0","4",",0","0",",0","0",",0","0",",0","0","3,0","0","3,0","0",",0","27",",0","12",",0","2","","1","","7.8","3,0,13,","0",",,0,30,+","0",",,0,30,+","13.5",",,0,07,","35.6",",0,21,","3505.6","0","","","","","","","15.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.7",",,,0","0",",,,0","22.07","3,0","29.41",",,,0","14.73","3,,,0","",""
"USC00118324","1995-07","42.02556","-88.17833","249.6","STREAMWOOD, IL US","301.3","0","183.9","2,0","11",",0","8",",0","2",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","31",",0","12",",0","2","","5","","7.8","2,0,02,","0",",,0,31,+","0",",,0,31,+","60.2",",,0,21,","40.6",",0,15,+","2.5","0","","","","","","","2.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140.2",",,,0","0",",,,0","24.59","2,0","31.35",",,,0","17.83","2,,,0","",""
"USC00118324","1995-08","42.02556","-88.17833","249.6","STREAMWOOD, IL US","535.4","0","234.1",",0","11",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","16",",0","7","","5","","15.0",",0,23,","0",",,0,31,+","0",",,0,31,+","67.6",",,0,07,","36.7",",0,13,","2.5","0","","","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215.0",",,,0","0",",,,0","25.88",",0","31.80",",,,0","19.97",",,,0","",""
"USC00118324","1995-09","42.02556","-88.17833","249.6","STREAMWOOD, IL US","562.8","0","27.4","1,0","5",",0","2",",0","1",",0","0",",0","0",",0","0","1,0","2","1,0","0",",0","19",",0","2",",0","1","","1","","-3.3","1,0,23,","0",",,0,30,+","0",",,0,30,+","31.2",",,0,08,","32.2",",0,06,+","94.6","0","","","","","","","92.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.7",",,,0","0",",,,0","16.05","1,0","23.53",",,,0","8.57","1,,,0","",""
"USC00118324","1995-10","42.02556","-88.17833","249.6","STREAMWOOD, IL US","566.7","0","3.9",",0","15",",0","11",",0","2",",0","0",",0","0",",0","0",",0","3",",0","0",",0","13",",0","0",",0","2","","","","-2.8",",0,25,","0",",,0,31,+","3",",,0,22,","48.3",",,0,20,","28.9",",0,14,+","320.5","0","","","","","","","225.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148.8",",,,0","3",",,,0","11.17",",0","17.95",",,,0","4.40",",,,0","",""
"USC00118324","1995-11","42.02556","-88.17833","249.6","STREAMWOOD, IL US","566.7","0","0.0",",0","12",",0","5",",0","2",",0","11",",0","3",",0","0",",0","27",",0","6",",0","0",",0","0",",0","","","1","","-14.4",",0,29,","51",",,0,30,+","51",",,0,11,","50.8",",,0,11,","16.7",",0,02,","888.5","0","","","","","","","568.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.1",",,,0","135",",,,0","-0.60",",0","4.65",",,,0","-5.85",",,,0","",""
"USC00118324","1995-12","42.02556","-88.17833","249.6","STREAMWOOD, IL US","566.7","0","0.0",",0","9",",0","6",",0","0",",0","10","5,0","4",",0","4",",0","31",",0","16",",0","0",",0","0",",0","","","","","-21.7",",0,09,","127","5,,0,13,","89",",,0,09,","4.6",",,0,09,","13.3",",0,03,","1592.6","0","","","","","","","704.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7",",,,0","260",",,,0","-4.38",",0","0.66",",,,0","-9.42",",,,0","",""
"USC00118324","1996-01","42.02556","-88.17833","249.6","STREAMWOOD, IL US","0.0","0","0.0","1,0","10",",0","5",",0","0",",0","22",",0","4","1,0","4","1,0","30","1,0","19",",0","0",",0","0",",0","4","","1","","-26.1","1,0,31,","152",",,0,12,","84","1,,0,12,","18.8",",,0,18,","15.6",",0,19,","2339.2","0","","","","","","","746.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.8",",,,0","324","1,,,0","-6.29","1,0","-0.66",",,,0","-11.93","1,,,0","",""
"USC00118324","1996-02","42.02556","-88.17833","249.6","STREAMWOOD, IL US","0.0","0","0.0",",0","6",",0","2",",0","0",",0","7",",0","0",",0","6",",0","26",",0","13",",0","0",",0","0",",0","3","","","","-31.1",",0,03,","51",",,0,04,+","15",",,0,19,","5.1",",,0,27,","15.6",",0,25,","3012.7","0","","","","","","","673.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1",",,,0","28",",,,0","-4.89",",0","0.80",",,,0","-10.58",",,,0","",""
"USC00118324","1996-03","42.02556","-88.17833","249.6","STREAMWOOD, IL US","0.0","0","0.0","1,0","7",",0","2",",0","0",",0","4",",0","2",",0","4","1,0","27","1,0","9",",0","0",",0","0",",0","1","","","","-19.4","1,0,08,","51",",,0,10,+","58",",,0,07,","14.0",",,0,25,","16.7",",0,15,","3620.1","0","","","","","","","607.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2",",,,0","83",",,,0","-1.71","1,0","4.37",",,,0","-7.79","1,,,0","",""
"USC00118324","1996-04","42.02556","-88.17833","249.6","STREAMWOOD, IL US","0.0","0","0.0",",0","13",",0","8",",0","1",",0","0",",0","0",",0","0",",0","16",",0","0",",0","5",",0","0",",0","1","","2","","-10.0",",0,08,","0",",T,0,05,","8",",,0,13,","25.9",",,0,15,","28.3",",0,12,","3977.2","0","","","","","","","357.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.0",",,,0","11",",,,0","6.43",",0","13.42",",,,0","-0.57",",,,0","",""
"USC00118324","1996-05","42.02556","-88.17833","249.6","STREAMWOOD, IL US","20.6","0","20.6",",0","21",",0","14",",0","3",",0","0",",0","0",",0","0",",0","1",",0","0",",0","7",",0","3",",0","5","","8","","0.0",",0,30,","0",",,0,31,+","0",",,0,31,+","50.3",",,0,29,","35.0",",0,19,","4183.1","0","","","","","","","205.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219.4",",,,0","0",",,,0","12.35",",0","18.45",",,,0","6.25",",,,0","",""
"USC00118324","1996-06","42.02556","-88.17833","249.6","STREAMWOOD, IL US","107.8","0","87.2",",0","13",",0","10",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","4",",0","5","","8","","6.1",",0,01,","0",",,0,30,+","0",",,0,30,+","38.1",",,0,18,","35.0",",0,30,+","4214.1","0","","","","","","","31.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155.4",",,,0","0",",,,0","20.21",",0","26.81",",,,0","13.60",",,,0","",""
"USC00118324","1996-07","42.02556","-88.17833","249.6","STREAMWOOD, IL US","193.9","0","86.1",",0","6",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","4",",0","2","","2","","6.7",",0,22,","0",",,0,31,+","0",",,0,31,+","63.8",",,0,18,","33.3",",0,07,+","10.8","0","","","","","","","10.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.6",",,,0","0",",,,0","20.76",",0","27.76",",,,0","13.76",",,,0","",""
"USC00118324","1996-08","42.02556","-88.17833","249.6","STREAMWOOD, IL US","310.8","0","116.9",",0","5",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","4",",0","10","","4","","11.7",",0,24,+","0",",,0,31,+","0",",,0,31,+","47.0",",,0,06,","34.4",",0,08,+","11.1","0","","","","","","","0.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.5",",,,0","0",",,,0","22.09",",0","28.87",",,,0","15.31",",,,0","",""
"USC00118324","1996-09","42.02556","-88.17833","249.6","STREAMWOOD, IL US","351.4","0","40.6",",0","8",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","18",",0","0",",0","11","","2","","3.3",",0,25,","0",",,0,30,+","0",",,0,30,+","38.1",",,0,27,","31.1",",0,06,+","96.6","0","","","","","","","85.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.3",",,,0","0",",,,0","16.84",",0","23.61",",,,0","10.07",",,,0","",""
"USC00118324","1996-10","42.02556","-88.17833","249.6","STREAMWOOD, IL US","354.2","0","2.8",",0","10",",0","5",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","8",",0","0",",0","1","","3","","-5.6",",0,31,","0",",,0,31,+","0",",,0,31,+","21.3",",,0,30,","31.1",",0,02,","332.5","0","","","","","","","235.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.0",",,,0","0",",,,0","10.82",",0","17.85",",,,0","3.79",",,,0","",""
"USC00118324","1996-11","42.02556","-88.17833","249.6","STREAMWOOD, IL US","354.2","0","0.0",",0","13",",0","4",",0","0",",0","6",",0","2",",0","0",",0","26",",0","7",",0","0",",0","0",",0","1","","","","-13.3",",0,27,","102",",,0,21,","89",",,0,21,","12.2",",,0,07,","17.2",",0,07,","904.5","0","","","","","","","572.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.6",",,,0","153",",,,0","-0.74",",0","4.19",",,,0","-5.66",",,,0","",""
"USC00118324","1996-12","42.02556","-88.17833","249.6","STREAMWOOD, IL US","354.2","0","0.0",",0","18","1,0","4","1,0","0","1,0","17",",0","3","1,0","5",",0","30",",0","11",",0","0",",0","0",",0","5","","","","-19.4",",0,26,+","102",",,0,06,","33","1,,0,06,","6.6","1,,0,11,","9.4",",0,24,","1585.1","0","","","","","","","680.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.9","1,,,0","197","1,,,0","-3.62",",0","0.73",",,,0","-7.98",",,,0","",""
"USC00118324","1997-01","42.02556","-88.17833","249.6","STREAMWOOD, IL US","0.0","0","0.0",",0","13",",0","6",",0","0",",0","20",",0","6",",0","12",",0","29",",0","22",",0","0",",0","0",",0","3","","","","-24.4",",0,18,+","229",",,0,18,+","152",",,0,16,","11.2",",,0,16,","17.2",",0,05,","2413.3","0","","","","","","","828.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.9",",,,0","514",",,,0","-8.38",",0","-2.84",",,,0","-13.93",",,,0","",""
"USC00118324","1997-02","42.02556","-88.17833","249.6","STREAMWOOD, IL US","0.0","0","0.0","1,0","10",",0","6",",0","1",",0","24",",0","3",",0","0","1,0","26","1,0","8",",0","0",",0","0",",0","2","","1","","-13.9","1,0,25,+","127",",,0,17,+","107",",,0,16,","65.5",",,0,21,","12.8",",0,19,","2991.0","0","","","","","","","577.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122.5",",,,0","287",",,,0","-2.96","1,0","1.89",",,,0","-7.82","1,,,0","",""
"USC00118324","1997-03","42.02556","-88.17833","249.6","STREAMWOOD, IL US","0.0","0","0.0",",0","9",",0","6",",0","0",",0","0",",0","0",",0","0",",0","26",",0","3",",0","2",",0","0",",0","2","","","","-15.0",",0,16,","0",",T,0,25,+","8",",,0,19,","15.5",",,0,29,","25.0",",0,28,","3483.6","0","","","","","","","492.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.4",",,,0","22",",,,0","2.44",",0","8.46",",,,0","-3.57",",,,0","",""
"USC00118324","1997-04","42.02556","-88.17833","249.6","STREAMWOOD, IL US","0.0","0","0.0",",0","12",",0","4",",0","0",",0","2",",0","1",",0","0",",0","18",",0","1",",0","4",",0","0",",0","1","","2","","-8.9",",0,09,","25",",,0,13,+","30",",,0,12,","15.7",",,0,12,","25.6",",0,30,","3834.0","0","","","","","","","350.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7",",,,0","53",",,,0","6.65",",0","13.56",",,,0","-0.26",",,,0","",""
"USC00118324","1997-05","42.02556","-88.17833","249.6","STREAMWOOD, IL US","1.1","0","1.1",",0","12",",0","6",",0","1",",0","0",",0","0",",0","0",",0","5",",0","0",",0","8",",0","0",",0","3","","3","","-1.1",",0,16,","0",",T,0,01,","0",",,0,31,+","36.1",",,0,01,","29.4",",0,25,","4053.8","0","","","","","","","219.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108.2",",,,0","0",",,,0","11.28",",0","18.45",",,,0","4.10",",,,0","",""
"USC00118324","1997-06","42.02556","-88.17833","249.6","STREAMWOOD, IL US","83.5","0","82.4","1,0","11",",0","5",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","28",",0","7",",0","4","","4","","5.0","1,0,15,","0",",,0,30,+","0",",,0,30,+","32.0",",,0,16,","35.6",",0,24,","4084.0","0","","","","","","","30.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.1",",,,0","0",",,,0","20.17","1,0","27.50",",,,0","12.83","1,,,0","",""
"USC00118324","1997-07","42.02556","-88.17833","249.6","STREAMWOOD, IL US","220.0","0","136.5","1,0","10",",0","5",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","30",",0","12",",0","3","","2","","7.8","1,0,10,","0",",,0,31,+","0",",,0,31,+","22.1",",,0,19,","37.2",",0,27,","8.0","0","","","","","","","8.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.0",",,,0","0",",,,0","22.64","1,0","29.65",",,,0","15.64","1,,,0","",""
"USC00118324","1997-08","42.02556","-88.17833","249.6","STREAMWOOD, IL US","281.1","0","61.1","2,0","13",",0","7",",0","1",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","30",",0","3",",0","8","","5","","7.2","2,0,23,","0",",,0,31,+","0",",,0,31,+","50.8",",,0,17,","34.4",",0,17,+","22.1","0","","","","","","","14.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116.5",",,,0","0",",,,0","19.91","2,0","26.72",",,,0","13.11","2,,,0","",""
"USC00118324","1997-09","42.02556","-88.17833","249.6","STREAMWOOD, IL US","307.6","0","26.5",",0","5",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","6","","1","","3.3",",0,24,","0",",,0,30,+","0",",,0,30,+","27.2",",,0,17,","31.7",",0,02,","88.5","0","","","","","","","66.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.8",",,,0","0",",,,0","17.00",",0","24.28",",,,0","9.72",",,,0","",""
"USC00118324","1997-10","42.02556","-88.17833","249.6","STREAMWOOD, IL US","329.0","0","21.4","1,0","8",",0","5",",0","0",",0","1",",0","0",",0","0","1,0","14","1,0","0",",0","11",",0","0",",0","1","","2","","-6.1","1,0,28,","25",",,0,27,","13",",,0,27,","21.6",",,0,27,","31.7",",0,06,","337.7","0","","","","","","","249.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.4",",,,0","13",",,,0","10.49","1,0","17.42",",,,0","3.56","1,,,0","",""
"USC00118324","1997-11","42.02556","-88.17833","249.6","STREAMWOOD, IL US","329.0","0","0.0",",0","13",",0","5",",0","0",",0","7",",0","3",",0","0",",0","21",",0","2",",0","0",",0","0",",0","","","","","-13.9",",0,24,","102",",,0,16,","86",",,0,16,","9.4",",,0,30,","19.4",",0,01,","842.1","0","","","","","","","504.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.3",",,,0","147",",,,0","1.52",",0","6.41",",,,0","-3.37",",,,0","",""
"USC00118324","1997-12","42.02556","-88.17833","249.6","STREAMWOOD, IL US","329.0","0","0.0","2,0","14",",0","4",",0","0",",0","15",",0","4",",0","0","1,0","30","1,0","9","1,0","0","1,0","0","1,0","","","","","-12.8","1,0,31,","127",",,0,31,+","102",",,0,25,","8.6",",,0,25,","10.0","1,0,20,+","1411.7","0","","","","","","","569.6","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.7",",,,0","281",",,,0","-1.35","2,0","2.74","1,,,0","-5.44","1,,,0","",""
"USC00118324","1998-01","42.02556","-88.17833","249.6","STREAMWOOD, IL US","0.0","0","0.0",",0","13","1,0","7","1,0","0","1,0","26",",0","4",",0","3",",0","28",",0","13",",0","0",",0","0",",0","6","","","","-21.1",",0,14,+","178",",,0,26,+","99",",,0,09,","13.7","1,,0,07,","13.9",",0,04,","2072.1","0","","","","","","","660.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.1","1,,,0","313",",,,0","-2.97",",0","1.78",",,,0","-7.72",",,,0","",""
"USC00118324","1998-02","42.02556","-88.17833","249.6","STREAMWOOD, IL US","0.0","0","0.0",",0","9",",0","5",",0","0",",0","2",",0","0","2,0","0",",0","22",",0","1",",0","0",",0","0",",0","2","","","","-6.1",",0,09,+","76",",,0,01,","0","2,T,0,20,","18.3",",,0,12,","17.8",",0,27,","2511.3","0","","","","","","","439.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.9",",,,0","0","2,T,,0","2.65",",0","7.24",",,,0","-1.95",",,,0","",""
"USC00118324","1998-03","42.02556","-88.17833","249.6","STREAMWOOD, IL US","1.9","0","1.9",",0","12",",0","7",",0","0",",0","12",",0","3",",0","0",",0","25",",0","4",",0","4",",0","0",",0","2","","","","-15.6",",0,12,","127",",,0,16,+","84",",,0,09,","19.1",",,0,18,","26.7",",0,31,+","3007.2","0","","","","","","","495.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.3",",,,0","208",",,,0","2.40",",0","7.49",",,,0","-2.69",",,,0","",""
