"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00040176","2011-10","34.5591","-115.7441","197.5","AMBOY, CA US","","","194.4","1,7","0","1,7","0","1,7","0","1,7","0","1,7","0","1,7","0","1,7","30","1,7","18","1,7","8.3","1,7,28,","0.0","1,,7,31,+","40.6","1,7,01,","","","1.6","1,7","0.0","1,,,7","24.76","1,7","33.54","1,,,7","15.98","1,,,7","17.9","1,7"
"USC00040176","2011-11","34.5591","-115.7441","197.5","AMBOY, CA US","","","5.8","1,7","2","1,7","0","1,7","0","1,7","0","1,7","0","1,7","0","1,7","20","1,7","1","1,7","2.2","1,7,09,","1.3","1,,7,05,","32.2","1,7,01,","","","100.8","1,7","1.6","1,,,7","15.06","1,7","23.01","1,,,7","7.11","1,,,7","16.1","2,7"
"USC00040176","2012-01","34.5591","-115.7441","197.5","AMBOY, CA US","0.0","7","0.0","5,7","1","4,7","0","4,7","0","4,7","0","4,7","1","4,7","0","5,7","15","5,7","0","5,7","-0.6","4,7,11,","0.5","4,,7,24,","27.2","5,7,30,+","","","141.8","5,7","0.5","4,,,7","12.83","5,7","22.04","5,,,7","3.62","4,,,7","",""
"USC00040176","2012-02","34.5591","-115.7441","197.5","AMBOY, CA US","3.9","7","3.9","1,7","1","1,7","0","1,7","0","1,7","0","1,7","0","1,7","0","1,7","21","1,7","0","1,7","2.2","1,7,22,+","1.0","1,,7,28,","30.0","1,7,24,","","","101.4","1,7","1.0","1,,,7","14.85","1,7","23.18","1,,,7","6.53","1,,,7","26.4","3,7"
"USC00040176","2012-03","34.5591","-115.7441","197.5","AMBOY, CA US","30.0","7","26.1",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","27",",7","1",",7","1.1",",7,03,","0.3",",,7,18,","32.2",",7,31,","","","56.0",",7","0.3",",,,7","17.37",",7","26.55",",,,7","8.19",",,,7","24.1","1,7"
"USC00040176","2012-04","34.5591","-115.7441","197.5","AMBOY, CA US","166.3","7","136.3","1,7","1","1,7","1","1,7","0","1,7","0","1,7","0","1,7","0","1,7","28","1,7","14","1,7","6.7","1,7,08,","7.6","1,,7,26,","41.7","1,7,23,","","","7.5","1,7","7.6","1,,,7","22.78","1,7","31.71","1,,,7","13.84","1,,,7","23.2","3,7"
"USC00040176","2012-05","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",7","0",",7","0",",7","","","","","","","","","","","","","0.0",",,7,31,+","","","","","","","0.0",",,,7","","","","","","","",""
"USC00040176","2012-06","34.5591","-115.7441","197.5","AMBOY, CA US","","","393.2","3,7","0","3,7","0","3,7","0","3,7","0","3,7","0","3,7","0","3,7","27","3,7","27","3,7","19.4","3,7,11,+","0.0","3,,7,30,+","46.1","3,7,03,+","","","0.0","3,7","0.0","3,,,7","32.90","3,7","42.08","3,,,7","23.71","3,,,7","17.9","5,7"
"USC00040176","2012-09","34.5591","-115.7441","197.5","AMBOY, CA US","","","367.6","3,7","0","3,7","0","3,7","0","3,7","0","3,7","0","3,7","0","3,7","27","3,7","27","3,7","19.4","3,7,18,","0.0","3,T,7,04,","42.8","3,7,10,+","","","0.0","3,7","0.0","3,T,,7","31.95","3,7","40.23","3,,,7","23.67","3,,,7","15.6","5,7"
"USC00040176","2012-10","34.5591","-115.7441","197.5","AMBOY, CA US","","","180.0","4,7","2","3,7","1","3,7","0","3,7","0","3,7","0","3,7","0","4,7","27","4,7","20","4,7","8.9","3,7,27,","3.3","3,,7,11,","42.8","4,7,03,","","","0.3","4,7","3.8","3,,,7","24.96","4,7","34.24","4,,,7","15.67","3,,,7","",""
"USC00040176","2012-11","34.5591","-115.7441","197.5","AMBOY, CA US","","","26.4","4,7","0","4,7","0","4,7","0","4,7","0","4,7","0","4,7","0","4,7","22","4,7","4","4,7","1.1","4,7,13,","0.0","4,,7,30,+","34.4","4,7,07,","","","48.6","4,7","0.0","4,,,7","17.48","4,7","26.63","4,,,7","8.33","4,,,7","",""
"USC00040176","2012-12","34.5591","-115.7441","197.5","AMBOY, CA US","","","0.3","2,7","2","2,7","2","2,7","0","2,7","0","2,7","3","2,7","0","2,7","12","2,7","0","2,7","-0.6","2,7,29,+","17.8","2,,7,14,","25.6","2,7,07,+","","","170.4","2,7","24.2","2,,,7","12.47","2,7","19.73","2,,,7","5.20","2,,,7","",""
"USC00040176","2013-01","34.5591","-115.7441","197.5","AMBOY, CA US","0.0","7","0.0","4,7","2","1,7","1","1,7","0","1,7","0","4,7","13","4,7","0","2,7","7","2,7","0","2,7","-13.3","4,7,15,","10.2","1,,7,26,","24.4","2,7,23,","","","248.8","2,7","10.5","1,,,7","9.18","4,7","17.83","2,,,7","0.52","4,,,7","15.2","4,7"
"USC00040176","2013-02","34.5591","-115.7441","197.5","AMBOY, CA US","0.0","7","0.0","2,7","0","2,7","0","2,7","0","2,7","0","2,7","7","2,7","0","2,7","15","2,7","0","2,7","-1.1","2,7,24,+","0.0","2,T,7,03,","26.7","2,7,18,","","","167.5","2,7","0.0","2,T,,7","11.89","2,7","20.93","2,,,7","2.85","2,,,7","",""
"USC00040176","2013-03","34.5591","-115.7441","197.5","AMBOY, CA US","83.1","7","83.1","1,7","1","1,7","1","1,7","0","1,7","0","1,7","0","1,7","0","1,7","27","1,7","5","1,7","0.6","1,7,11,","6.4","1,,7,08,","34.4","1,7,17,+","","","35.6","1,7","6.4","1,,,7","19.92","1,7","28.69","1,,,7","11.14","1,,,7","15.2","4,7"
"USC00040176","2013-04","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0","4,7","0","4,7","0","4,7","","","","","0","4,7","26","4,7","16","4,7","","","0.0","4,,7,30,+","41.1","4,7,30,","","","","","0.0","4,,,7","","","32.50","4,,,7","","","",""
"USC00040176","2013-05","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0","3,7","0","3,7","0","3,7","","","","","0","4,7","27","4,7","22","4,7","","","0.0","3,,7,31,+","42.8","4,7,15,+","","","","","0.0","3,,,7","","","36.42","4,,,7","","","",""
"USC00040176","2013-06","34.5591","-115.7441","197.5","AMBOY, CA US","","","396.9","4,7","0","3,7","0","3,7","0","3,7","0","4,7","0","4,7","0","3,7","27","3,7","27","3,7","17.2","4,7,14,","0.0","3,,7,30,+","50.0","3,7,30,","","","0.0","3,7","0.0","3,,,7","33.62","4,7","43.04","3,,,7","24.19","4,,,7","",""
"USC00040176","2013-07","34.5591","-115.7441","197.5","AMBOY, CA US","","","495.8","5,7","2","4,7","0","4,7","0","4,7","0","5,7","0","5,7","0","4,7","27","4,7","27","4,7","25.6","5,7,23,+","1.5","4,,7,12,","50.6","4,7,02,+","0.0","7","0.0","4,7","2.0","4,,,7","37.39","5,7","44.07","4,,,7","30.70","5,,,7","",""
"USC00040176","2013-08","34.5591","-115.7441","197.5","AMBOY, CA US","","","459.2","1,7","3","1,7","1","1,7","0","1,7","0","1,7","0","1,7","0","1,7","30","1,7","28","1,7","18.3","1,7,03,","9.4","1,,7,27,","46.1","1,7,18,","0.0","7","0.0","1,7","10.7","1,,,7","33.64","1,7","41.46","1,,,7","25.82","1,,,7","",""
"USC00040176","2013-09","34.5591","-115.7441","197.5","AMBOY, CA US","","","355.8","2,7","3","1,7","1","1,7","0","1,7","0","1,7","0","1,7","0","2,7","28","2,7","27","2,7","13.3","1,7,29,","6.4","1,,7,10,","43.9","2,7,07,","0.0","7","0.0","2,7","8.2","1,,,7","31.05","2,7","39.19","2,,,7","22.91","1,,,7","",""
"USC00040176","2013-10","34.5591","-115.7441","197.5","AMBOY, CA US","","","96.7","1,7","1",",7","0",",7","0",",7","0",",7","0",",7","0","1,7","30","1,7","16","1,7","5.0",",7,17,","0.8",",,7,10,","36.1","1,7,02,+","10.4","7","10.4","1,7","0.8",",,,7","21.11","1,7","30.83","1,,,7","11.38",",,,7","",""
"USC00040176","2013-11","34.5591","-115.7441","197.5","AMBOY, CA US","","","8.7","4,7","0","2,7","0","2,7","0","2,7","0","4,7","0","4,7","0","2,7","23","2,7","0","2,7","1.7","4,7,26,","0.0","2,,7,30,+","30.6","2,7,14,+","70.4","7","60.0","2,7","0.0","2,,,7","16.13","4,7","24.65","2,,,7","7.61","4,,,7","12.5","3,7"
"USC00040176","2013-12","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","1",",7","1",",7","0",",7","","","","","0","2,7","13","2,7","0","2,7","","","2.8",",,7,13,","25.6","2,7,18,","","","","","2.8",",,,7","","","19.24","2,,,7","","","",""
"USC00040176","2014-01","34.5591","-115.7441","197.5","AMBOY, CA US","0.0","7","0.0","5,7","0",",7","0",",7","0",",7","0","3,7","2","3,7","0","2,7","26","2,7","0","2,7","0.0","3,7,06,+","0.0",",,7,31,+","26.7","2,7,30,+","","","113.7","2,7","0.0",",,,7","13.93","5,7","23.88","2,,,7","3.98","3,,,7","",""
"USC00040176","2014-02","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0",",7","0",",7","0",",7","","","","","0","5,7","15","5,7","0","5,7","","","0.0",",T,7,28,","31.1","5,7,15,+","","","","","0.0",",T,,7","","","24.50","5,,,7","","","",""
"USC00040176","2014-03","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","0","1,7","0","1,7","0","1,7","","","","","","","","","","","","","0.0","1,T,7,02,+","","","","","","","0.0","1,T,,7","","","","","","","",""
"USC00040176","2014-04","34.5591","-115.7441","197.5","AMBOY, CA US","","","","","1",",7","1",",7","0",",7","","","","","","","","","","","","","2.5",",,7,26,","","","","","","","2.5",",,,7","","","","","","","",""
"USC00040176","2015-01","34.5591","-115.7441","197.5","AMBOY, CA US","0.0","7","0.0","2,7","4","2,7","1","2,7","0","2,7","0","2,7","4","2,7","0","2,7","19","2,7","0","2,7","-3.9","2,7,02,","4.1","2,,7,27,","26.7","2,7,26,","","","148.8","2,7","7.7","2,,,7","13.20","2,7","21.04","2,,,7","5.36","2,,,7","",""
"USC00040176","2015-02","34.5591","-115.7441","197.5","AMBOY, CA US","13.1","7","13.1","2,7","0","3,7","0","3,7","0","3,7","0","2,7","0","2,7","0","2,7","24","2,7","0","2,7","6.1","2,7,25,+","0.0","3,,7,28,+","30.6","2,7,16,","","","32.3","2,7","0.0","3,,,7","17.59","2,7","26.73","2,,,7","8.46","2,,,7","",""
"USC00040176","2015-03","34.5591","-115.7441","197.5","AMBOY, CA US","120.6","7","107.5","1,7","1","1,7","1","1,7","0","1,7","0","1,7","0","1,7","0","1,7","29","1,7","11","1,7","5.6","1,7,04,+","6.4","1,,7,02,","37.2","1,7,29,","","","20.5","1,7","6.4","1,,,7","21.23","1,7","30.23","1,,,7","12.24","1,,,7","",""
"USC00040176","2015-04","34.5591","-115.7441","197.5","AMBOY, CA US","255.1","7","134.5",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","14",",7","7.8",",7,10,+","1.3",",,7,26,","37.8",",7,30,","","","3.8",",7","1.3",",,,7","22.69",",7","31.39",",,,7","13.99",",,,7","",""
"USC00040176","2015-05","34.5591","-115.7441","197.5","AMBOY, CA US","483.7","7","228.6","2,7","0","2,7","0","2,7","0","2,7","0","2,7","0","2,7","0","2,7","29","2,7","24","2,7","11.7","2,7,16,","0.0","2,,7,31,+","42.2","2,7,31,","","","0.0","2,7","0.0","2,,,7","26.22","2,7","34.51","2,,,7","17.92","2,,,7","",""
"USC00040176","2015-06","34.5591","-115.7441","197.5","AMBOY, CA US","942.8","7","459.1","2,7","0","2,7","0","2,7","0","2,7","0","2,7","0","2,7","0","2,7","28","2,7","28","2,7","19.4","2,7,07,","0.0","2,,7,30,+","47.2","2,7,21,","","","0.0","2,7","0.0","2,,,7","34.73","2,7","43.10","2,,,7","26.36","2,,,7","",""
"USC00040176","2015-07","34.5591","-115.7441","197.5","AMBOY, CA US","1366.5","7","423.7","4,7","2","3,7","1","3,7","0","3,7","0","4,7","0","4,7","0","3,7","28","3,7","28","3,7","21.1","4,7,19,","5.8","3,,7,19,","45.6","3,7,04,","0.0","7","0.0","3,7","7.3","3,,,7","34.04","4,7","41.75","3,,,7","26.34","4,,,7","",""
"USC00040176","2015-08","34.5591","-115.7441","197.5","AMBOY, CA US","1851.4","7","484.9","4,7","1","1,7","0","1,7","0","1,7","0","4,7","0","4,7","0","1,7","30","1,7","30","1,7","22.8","4,7,14,","1.5","1,,7,07,","47.8","1,7,17,","0.0","7","0.0","1,7","1.5","1,,,7","36.15","4,7","43.98","1,,,7","28.33","4,,,7","",""
