"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00014944","1932-11","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","390.9","X","0.0",",X","2",",X","2",",X","0",",X","","","1",",X","2",",X","23",",X","11",",X","0",",X","0",",X","","","","","","","-18.3",",X,19,","","","127",",,X,09,","12.2",",,X,09,","17.8",",X,04,","","","982.4","X","561.4",",X","","","","","14.7",",,,X","","","127",",,,X","-0.38",",X","4.46",",,,X","-5.22",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1932-12","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","390.9","X","0.0",",X","3",",X","3",",X","0",",X","","","2",",X","13",",X","30",",X","19",",X","0",",X","0",",X","","","","","","","-30.0",",X,12,","","","64",",,X,11,","4.3",",,X,11,","11.7",",X,02,","","","1823.2","X","840.8",",X","","","","","10.4",",,,X","","","115",",,,X","-8.79",",X","-4.01",",,,X","-13.56",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1933-01","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","0.0","X","0.0",",X","3",",X","2",",X","0",",X","","","1",",X","1",",X","30",",X","11",",X","0",",X","0",",X","","","","","","","-21.1",",X,17,","","","51",",,X,31,","4.6",",,X,31,","8.3",",X,09,+","","","2489.2","X","666.0",",X","","","","","8.9",",,,X","","","74",",,,X","-3.15",",X","2.01",",,,X","-8.31",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1933-02","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","0.0","X","0.0",",X","4",",X","3",",X","0",",X","","","4",",X","12",",X","26",",X","17",",X","0",",X","0",",X","","","","","","","-34.4",",X,09,","","","51",",,X,13,","4.3",",,X,13,","10.0",",X,27,+","","","3267.6","X","778.4",",X","","","","","12.2",",,,X","","","152",",,,X","-9.47",",X","-3.38",",,,X","-15.56",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1933-03","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","0.0","X","0.0",",X","7",",X","6",",X","0",",X","","","5",",X","0",",X","28",",X","4",",X","0",",X","0",",X","","","","","","","-17.2",",X,09,","","","152",",,X,05,","16.5",",,X,05,","14.4",",X,31,+","","","3823.4","X","555.8",",X","","","","","61.4",",,,X","","","330",",,,X","0.40",",X","5.27",",,,X","-4.46",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1933-04","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","0.0","X","0.0",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","14",",X","0",",X","3",",X","0",",X","","","","","","","-7.2",",X,14,","0",",,X,30,+","0",",T,X,10,","22.9",",,X,30,","23.9",",X,29,","","","4145.6","X","322.2",",X","","","","","27.5",",,,X","","","0",",T,,X","7.59",",X","14.21",",,,X","0.98",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1933-05","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","9.7","X","9.7",",X","10",",X","9",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","15",",X","0",",X","","","","","","","1.1",",X,09,","0",",,X,31,+","0",",,X,31,+","12.2",",,X,22,","30.6",",X,18,","","","4291.8","X","146.2",",X","","","","","45.7",",,,X","","","0",",,,X","13.93",",X","20.00",",,,X","7.86",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1933-06","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","201.8","X","192.1",",X","5",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","19",",X","","","","","","","5.0",",X,13,","0",",,X,30,+","0",",,X,30,+","21.1",",,X,08,","37.8",",X,10,+","","","4297.6","X","5.8",",X","","","","","42.0",",,,X","","","0",",,,X","24.54",",X","32.39",",,,X","16.69",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1933-07","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","358.4","X","156.6",",X","8",",X","7",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","9",",X","","","","","","","10.6",",X,31,+","0",",,X,31,+","0",",,X,31,+","25.4",",,X,01,","35.6",",X,29,","","","0.2","X","0.2",",X","","","","","97.0",",,,X","","","0",",,,X","23.38",",X","30.02",",,,X","16.74",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1933-08","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","421.0","X","62.6",",X","7",",X","5",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","29",",X","1",",X","","","","","","","8.3",",X,29,","0",",,X,31,+","0",",,X,31,+","59.9",",,X,23,","32.2",",X,06,","","","10.4","X","10.2",",X","","","","","119.4",",,,X","","","0",",,,X","20.02",",X","25.83",",,,X","14.22",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1933-09","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","476.3","X","55.3",",X","4",",X","3",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","25",",X","0",",X","","","","","","","4.4",",X,27,","0",",,X,30,+","0",",,X,30,+","50.3",",,X,02,","31.1",",X,07,+","","","56.6","X","46.2",",X","","","","","90.5",",,,X","","","0",",,,X","18.64",",X","24.37",",,,X","12.90",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1933-10","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","476.3","X","0.0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","9",",X","0",",X","8",",X","0",",X","","","","","","","-6.1",",X,27,+","0",",,X,31,+","0",",T,X,27,","0.0",",T,X,27,+","26.1",",X,05,","","","361.7","X","305.1",",X","","","","","0.0",",T,,X","","","0",",T,,X","8.49",",X","14.76",",,,X","2.22",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1933-11","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","476.3","X","0.0",",X","2",",X","0",",X","0",",X","0","2,X","0",",X","0",",X","27",",X","2",",X","0",",X","0",",X","","","","","","","-15.6",",X,16,","0","2,,X,30,+","5",",,X,06,","1.0",",,X,06,","20.0",",X,01,","","","880.6","X","518.9",",X","","","","","1.5",",,,X","","","5",",,,X","1.04",",X","7.29",",,,X","-5.22",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1933-12","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","476.3","X","0.0",",X","6",",X","3",",X","0",",X","","","2",",X","7",",X","29",",X","15",",X","0",",X","0",",X","","","","","","","-28.9",",X,26,","","","51",",,X,24,","12.2",",,X,02,","11.1",",X,21,","","","1650.7","X","770.1",",X","","","","","20.6",",,,X","","","112",",,,X","-6.51",",X","-1.15",",,,X","-11.86",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1934-01","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","0.0","X","0.0",",X","2",",X","2",",X","0",",X","","","2",",X","5",",X","29",",X","19",",X","0",",X","0",",X","4","","","","","","-23.9",",X,01,","","","97",",,X,04,","7.9",",,X,04,","11.7",",X,27,","","","2391.8","X","741.1",",X","","","","","14.0",",,,X","","","173",",,,X","-5.57",",X","-0.85",",,,X","-10.30",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1934-02","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","0.0","X","0.0",",X","2",",X","0",",X","0",",X","","","0",",X","7",",X","28",",X","13",",X","0",",X","0",",X","","","","","","","-26.1",",X,26,","","","20",",,X,24,+","1.5",",,X,24,","12.8",",X,13,","","","3038.6","X","646.8",",X","","","","","2.5",",,,X","","","40",",,,X","-4.77",",X","0.94",",,,X","-10.48",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1934-03","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","0.0","X","0.0",",X","6",",X","3",",X","0",",X","","","3",",X","1",",X","28",",X","6",",X","0",",X","0",",X","","","","","","","-17.8",",X,10,","","","114",",,X,29,","14.7",",,X,29,","20.6",",X,20,","","","3603.9","X","565.3",",X","","","","","30.7",",,,X","","","229",",,,X","0.10",",X","6.85",",,,X","-6.65",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1934-04","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","5.8","X","5.8",",X","2",",X","2",",X","0",",X","0","3,X","0",",X","0",",X","16",",X","0",",X","5",",X","0",",X","","","","","","","-5.0",",X,24,+","0","3,,X,30,+","0",",,X,30,+","4.8",",,X,03,","30.6",",X,30,","","","3904.1","X","300.2",",X","","","","","7.8",",,,X","","","0",",,,X","8.52",",X","15.52",",,,X","1.52",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1934-05","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","134.4","X","128.6",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","29",",X","12",",X","","","","","1","","3.3",",X,24,+","0",",,X,31,+","0",",,X,31,+","1.0",",,X,22,","40.0",",X,30,","","","3939.1","X","35.0",",X","","","","","2.6",",,,X","","","0",",,,X","21.35",",X","29.44",",,,X","13.26",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1934-06","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","245.3","X","110.9",",X","8",",X","8",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","8",",X","","","","","","","8.9",",X,15,+","0",",,X,30,+","0",",,X,30,+","46.7",",,X,08,","38.3",",X,27,","","","3947.4","X","8.3",",X","","","","","147.3",",,,X","","","0",",,,X","21.75",",X","28.42",",,,X","15.08",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1934-07","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","416.5","X","171.2",",X","13",",X","11",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","10",",X","","","","","","","10.0",",X,07,","0",",,X,31,+","0",",,X,31,+","61.0",",,X,04,","40.6",",X,21,","","","2.5","X","2.5",",X","","","","","158.4",",,,X","","","0",",,,X","23.78",",X","30.47",",,,X","17.08",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1934-08","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","515.5","X","99.0",",X","9",",X","6",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","6",",X","","","","","","","3.9",",X,24,","0",",,X,31,+","0",",,X,31,+","31.5",",,X,14,","41.7",",X,04,","","","25.7","X","23.2",",X","","","","","92.0",",,,X","","","0",",,,X","20.78",",X","27.56",",,,X","13.99",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1934-09","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","523.0","X","7.5",",X","11",",X","6",",X","2",",X","0",",X","0",",X","0",",X","3",",X","0",",X","16",",X","0",",X","","","","","","","-2.8",",X,21,","0",",,X,30,+","0",",,X,30,+","32.8",",,X,25,","27.8",",X,01,","","","170.4","X","144.7",",X","","","","","99.9",",,,X","","","0",",,,X","13.76",",X","20.35",",,,X","7.17",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1934-10","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","525.5","X","2.5",",X","7",",X","4",",X","0",",X","0",",X","0",",X","0",",X","5",",X","0",",X","15",",X","0",",X","","","","","","","-3.9",",X,30,+","0",",,X,31,+","0",",,X,31,+","12.4",",,X,19,","27.2",",X,13,","","","351.7","X","181.3",",X","","","","","29.5",",,,X","","","0",",,,X","12.57",",X","19.04",",,,X","6.10",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1934-11","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","525.5","X","0.0",",X","5",",X","1",",X","0",",X","0","1,X","0",",X","0",",X","19",",X","2",",X","1",",X","0",",X","8","","","","","","-7.8",",X,01,","0","1,,X,30,+","0",",T,X,22,","11.7",",,X,18,","21.7",",X,06,","","","784.5","X","432.8",",X","","","","","17.3",",,,X","","","0",",T,,X","3.91",",X","8.77",",,,X","-0.96",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1934-12","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","525.5","X","0.0",",X","3",",X","3",",X","0",",X","","","3",",X","4",",X","31",",X","19",",X","0",",X","0",",X","","","","","","","-24.4",",X,26,","","","114",",,X,03,","10.9",",,X,03,","6.7",",X,22,","","","1539.2","X","754.7",",X","","","","","23.1",",,,X","","","267",",,,X","-6.01",",X","-1.54",",,,X","-10.48",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1935-01","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","0.0","X","0.0",",X","5",",X","3",",X","0",",X","","","3",",X","12",",X","31",",X","21",",X","0",",X","0",",X","","","","","","","-30.0",",X,23,","","","64",",,X,16,+","6.9",",,X,12,","7.8",",X,02,","","","2372.5","X","833.3",",X","","","","","16.8",",,,X","","","176",",,,X","-8.55",",X","-3.42",",,,X","-13.67",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1935-02","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","0.0","X","0.0",",X","5",",X","4",",X","0",",X","","","4",",X","1",",X","26",",X","5",",X","0",",X","0",",X","","","","","","","-19.4",",X,25,","","","76",",,X,24,","7.1",",,X,24,","11.7",",X,23,","","","2909.9","X","537.4",",X","","","","","21.2",",,,X","","","198",",,,X","-0.86",",X","3.39",",,,X","-5.11",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1935-03","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","0.0","X","0.0",",X","7",",X","3",",X","0",",X","","","0",",X","0",",X","20",",X","3",",X","3",",X","0",",X","","","","","","","-15.6",",X,07,","","","13",",,X,30,+","15.7",",,X,04,","22.8",",X,15,+","","","3365.9","X","456.0",",X","","","","","27.8",",,,X","","","39",",,,X","3.62",",X","9.22",",,,X","-1.97",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1935-04","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","0.0","X","0.0",",X","11",",X","7",",X","2",",X","","","4",",X","0",",X","10",",X","0",",X","4",",X","0",",X","","","","","","","-6.1",",X,15,","","","51",",,X,11,+","47.5",",,X,24,","25.6",",X,22,","","","3689.7","X","323.8",",X","","","","","151.9",",,,X","","","226",",,,X","7.54",",X","12.76",",,,X","2.32",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1935-05","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","0.0","X","0.0",",X","12",",X","9",",X","2",",X","0",",X","0",",X","0",",X","1",",X","0",",X","13",",X","0",",X","","","","","","","0.0",",X,03,","0",",,X,31,+","0",",,X,31,+","49.8",",,X,12,","23.9",",X,11,","","","3860.5","X","170.8",",X","","","","","154.1",",,,X","","","0",",,,X","12.82",",X","18.37",",,,X","7.28",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1935-06","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","58.0","X","58.0",",X","10",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","24",",X","0",",X","","","","","","","3.9",",X,07,","0",",,X,30,+","0",",,X,30,+","30.5",",,X,25,","31.7",",X,15,","","","3904.9","X","44.4",",X","","","","","88.8",",,,X","","","0",",,,X","18.78",",X","24.92",",,,X","12.65",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1935-07","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","327.7","X","269.7",",X","10",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","20",",X","","","","","","","15.0",",X,12,","0",",,X,31,+","0",",,X,31,+","37.1",",,X,09,","40.0",",X,27,","","","0.0","X","0.0",",X","","","","","77.8",",,,X","","","0",",,,X","27.03",",X","33.74",",,,X","20.33",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1935-08","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","496.4","X","168.7",",X","8",",X","8",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","15",",X","","","","","","","5.0",",X,30,+","0",",,X,31,+","0",",,X,31,+","80.0",",,X,09,","36.1",",X,07,+","","","20.3","X","20.3",",X","","","","","173.7",",,,X","","","0",",,,X","23.12",",X","29.91",",,,X","16.33",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1935-09","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","552.2","X","55.8",",X","5",",X","4",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","25",",X","1",",X","","","","","","","-2.2",",X,27,","0",",,X,30,+","0",",,X,30,+","20.3",",,X,16,","33.3",",X,23,","","","75.2","X","54.9",",X","","","","","45.0",",,,X","","","0",",,,X","18.36",",X","25.41",",,,X","11.32",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1935-10","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","554.2","X","2.0",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","11",",X","0",",X","7",",X","0",",X","","","","","","","-6.1",",X,31,","0",",T,X,31,","0",",T,X,31,","8.1",",,X,20,","25.0",",X,15,","","","336.2","X","261.0",",X","","","","","9.9",",,,X","","","0",",T,,X","9.98",",X","16.53",",,,X","3.42",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1935-11","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","554.2","X","0.0",",X","3",",X","1",",X","0",",X","","","1",",X","1",",X","27",",X","6",",X","0",",X","0",",X","","","","","","","-18.3",",X,22,","","","51",",,X,27,","23.9",",,X,27,","16.1",",X,08,","","","895.0","X","558.8",",X","","","","","25.7",",,,X","","","69",",,,X","-0.29",",X","4.35",",,,X","-4.94",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00014944","1935-12","43.5778","-96.7539","435.3","SIOUX FALLS FOSS FIELD, SD US","","","554.2","X","0.0",",X","7",",X","3",",X","0",",X","","","2",",X","5",",X","27",",X","13",",X","0",",X","0",",X","7","","","","","","-25.0",",X,26,","","","127",",,X,27,","15.5",",,X,27,","6.1",",X,08,","","","1625.5","X","730.5",",X","","","","","26.3",",,,X","","","202",",,,X","-5.23",",X","-0.99",",,,X","-9.47",",,,X","","","","","","","","","","","","","","","","","","","",""
